ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,groupEloStab,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc,adjDate,fractionKept,animalID
23,IV,SGE1,NSPF4_1,5,587,36,5,39,IV_NSPF4_1,IV,457,0.9977,587,93.591,3.942,89.649,36,NSPF4_1,1,5.1995,2.16666666666667,-9.2334358974359,1.08717948717949,-543,NSPF4_1,WholePhase,1,RIv8
24,JE,SGE1,SPF2_1,4,880,46,4,27,JE_SPF2_1,JE,758,0.9995,880,174.836,112.805,62.031,46,SPF2_1,1,7.6015652173913,1.17391304347826,2.70003678795013,-1.42770475227503,-242,SPF2_1,WholePhase,1,RJe11
25,JV,SGE1,SPF2_1,2,1176,46,2,1,JV_SPF2_1,JV,1398,0.9995,1176,102.785,82.423,20.362,46,SPF2_1,1,4.46891304347826,0.0434782608695652,-0.432615385962918,-2.55813953488372,398,SPF2_1,WholePhase,1,JVA
26,KK,SGE1,SPF2_1,5,336,28,5,154,KK_SPF2_1,KK,134,0.9995,336,7.135,3.011,4.124,28,SPF2_1,1,0.509642857142857,11,-4.39188557229832,8.39838220424671,-866,SPF2_1,WholePhase,1,RKk13
27,LM,SGE1,NSPF3_1,2,1483,41,1,0,LM_NSPF3_1,LM,1718,0.9995,1483,276.847,69.806,207.041,41,NSPF3_1,1,13.5047317073171,0,4.35873171518489,-0.898701809598741,718,NSPF3_1,WholePhase,1,RLm8
28,LO,SGE1,NSPF3_1,3,1016,41,3,4,LO_NSPF3_1,LO,1020,0.9995,1016,197.609,97.347,100.262,41,NSPF3_1,1,9.63946341463415,0.195121951219512,0.493463422501968,-0.703579858379229,20,NSPF3_1,WholePhase,1,RLo9
29,MG,SGE1,SPF4_1,4,1527,31,1,0,MG_SPF4_1,MG,1619,0.9944,1527,229.337,204.246,25.091,31,SPF4_1,1,14.795935483871,0,4.93476440092166,-2.69700460829493,673.25,SPF4_1,WholePhase,1,RMg12
30,MI,SGE1,SPF3_1,3,206,11,5,34,MI_SPF3_1,MI,206,0.998,206,15.19,14.84,0.350000000000001,11,SPF3_1,1,2.76181818181818,6.18181818181818,-1.46567272727273,1.64848484848485,-794,SPF3_1,WholePhase,1,RMi12
31,MO,SGE1,SPF2_1,1,1696,47,1,0,MO_SPF2_1,MO,1893,0.9995,1696,98.586,13.914,84.672,47,SPF2_1,1,4.19514893617021,0,-0.706379493270965,-2.60161779575329,893,SPF2_1,WholePhase,1,77_06
32,NN,SGE1,SPF4_1,5,419,28,4,114,NN_SPF4_1,NN,202,0.9944,419,85.891,22.007,63.884,28,SPF4_1,1,6.13507142857143,8.14285714285714,-3.72609965437788,5.44585253456221,-743.75,SPF4_1,WholePhase,1,RNn10
33,PH,SGE1,NSPF2_1,5,889,44,4,10,PH_NSPF2_1,PH,756,0.9971,889,192.729,97.741,94.988,44,NSPF2_1,1,8.76040909090909,0.454545454545455,-3.97303345289631,-1.27825706039992,-244,NSPF2_1,WholePhase,1,RPh7
34,PT,SGE1,NSPF4_1,1,871,39,4,31,PT_NSPF4_1,PT,748,0.9977,871,298.459,186.595,111.864,39,NSPF4_1,1,15.3055897435897,1.58974358974359,0.872653846153847,0.51025641025641,-252,NSPF4_1,WholePhase,1,RPt8
35,PZ,SGE1,NSPF5_1,3,1444,21,1,0,PZ_NSPF5_1,PZ,1477,0.9938,1444,249.775,128.879,120.896,21,NSPF5_1,1,23.7880952380952,0,5.68789578754579,-0.566666666666667,253.5,NSPF5_1,WholePhase,1,RPz13
36,QT,SGE1,SPF1_1,1,811,48,4,70,QT_SPF1_1,QT,505,0.999,811,165.804,131.387,34.417,48,SPF1_1,1,6.9085,2.91666666666667,-0.677937411347518,1.08085106382979,-495,SPF1_1,WholePhase,1,RQt8
37,QV,SGE1,NSPF1_1,2,1171,30,3,0,QV_NSPF1_1,QV,1538,0.994,1171,254.186,80.682,173.504,30,NSPF1_1,1,16.9457333333333,0,4.89943605487579,-1.68854282536151,538,NSPF1_1,WholePhase,1,RQv5
38,RN,SGE1,NSPF2_1,1,1366,48,1,1,RN_NSPF2_1,RN,1457,0.9971,1366,322.752,98.691,224.061,48,NSPF2_1,1,13.448,0.0416666666666667,0.7145574561946,-1.69113584827871,457,NSPF2_1,WholePhase,1,RRn9
39,RZ,SGE1,NSPF1_1,4,1244,31,2,6,RZ_NSPF1_1,RZ,1031,0.994,1244,191.69,123.915,67.775,31,NSPF1_1,1,12.3670967741935,0.387096774193548,0.320799495736003,-1.30144605116796,31,NSPF1_1,WholePhase,1,RRz6
40,SD,SGE1,SPF1_1,5,432,47,5,108,SD_SPF1_1,SD,312,0.999,432,106.807,88.042,18.765,47,SPF1_1,1,4.54497872340426,4.59574468085106,-3.04145868794326,2.75992907801418,-688,SPF1_1,WholePhase,1,RSd4
41,SM,SGE1,NSPF1_1,1,1387,31,1,1,SM_NSPF1_1,SM,1446,0.994,1387,250.062,119.946,130.116,31,NSPF1_1,1,16.1330322580645,0.0645161290322581,4.08673497960697,-1.62402669632925,446,NSPF1_1,WholePhase,1,RSm8
42,SS,SGE1,SPF1_1,2,1435,48,2,4,SS_SPF1_1,SS,1434,0.999,1435,195.435,112.347,83.088,48,SPF1_1,1,8.143125,0.166666666666667,0.556687588652482,-1.66914893617021,434,SPF1_1,WholePhase,1,RSs10
43,TA,SGE1,SPF4_1,2,1147,31,2,4,TA_SPF4_1,TA,1144,0.9944,1147,150.954,5.553,145.401,31,SPF4_1,1,9.73896774193548,0.258064516129032,-0.122203341013824,-2.4389400921659,198.25,SPF4_1,WholePhase,1,RTa11
44,TM,SGE1,NSPF4_1,3,1265,39,2,4,TM_NSPF4_1,TM,1329,0.9977,1265,298.082,54.587,243.495,39,NSPF4_1,1,15.2862564102564,0.205128205128205,0.853320512820513,-0.874358974358974,329,NSPF4_1,WholePhase,1,RTm13
45,TR,SGE1,NSPF4_1,2,873,39,3,28,TR_NSPF4_1,TR,802,0.9977,873,321.345,198.865,122.48,39,NSPF4_1,1,16.4792307692308,1.43589743589744,2.04629487179487,0.356410256410256,-198,NSPF4_1,WholePhase,1,RTr13
46,VT,SGE1,SPF3_1,2,1750,33,1,0,VT_SPF3_1,VT,1955,0.998,1750,96.963,31.189,65.774,33,SPF3_1,1,5.87654545454545,0,1.64905454545455,-4.53333333333333,955,SPF3_1,WholePhase,1,RVt12
47,WM,SGE1,NSPF5_1,5,979,26,3,13,WM_NSPF5_1,WM,1091,0.9938,979,176.199,104.515,71.684,26,NSPF5_1,1,13.5537692307692,1,-4.54643021978022,0.433333333333333,-132.5,NSPF5_1,WholePhase,1,RWm14
48,YR,SGE1,SPF3_1,5,610,33,4,226,YR_SPF3_1,YR,416,0.998,610,64.62,38.479,26.141,33,SPF3_1,1,3.91636363636364,13.6969696969697,-0.311127272727272,9.16363636363636,-584,SPF3_1,WholePhase,1,RYr14
49,YZ,SGE1,SPF1_1,3,847,48,3,36,YZ_SPF1_1,YZ,1041,0.999,847,116.373,67.301,49.072,48,SPF1_1,1,4.848875,1.5,-2.73756241134752,-0.33581560283688,41,SPF1_1,WholePhase,1,RYz6
