ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,groupEloStab,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
19,GU,SGE1,NSPF4_1,4,1404,39,1,0,GU_NSPF4_1,GU,1391,0.9934,1404,95.069,70.482,24.587,39,NSPF4_1,1,4.87533333333333,0,1,2018-07-09,2018-07-09,EnvChall,0.216575716234652,RGu10,2018-05-14,FALSE,0,1,0.78811452991453,-0.202564102564103,391,NSPF4_1
20,HT,SGE1,SPF1_1,4,1475,48,1,0,HT_SPF1_1,HT,1475,0.9969,1475,162.172,15.155,147.017,48,SPF1_1,1,6.75716666666667,0,1,2018-06-27,2018-06-27,EnvChall,0.469656992084433,RHt8,2018-03-20,FALSE,0,1,3.04596897163121,-0.971631205673759,475,SPF1_1
21,IE,SGE1,NSPF1_1,3,845,29,4,7,IE_NSPF1_1,IE,845,0.973,845,41.873,41.024,0.848999999999997,29,NSPF1_1,1,2.88779310344828,0.482758620689655,4,2018-09-26,2018-09-26,EnvChall,0.314285714285714,RIe6,2018-09-10,TRUE,0,1,0.019145020393029,-0.426696329254728,-155,NSPF1_1
22,IK,SGE1,NSPF3_1,4,732,31,4,8,IK_NSPF3_1,IK,734,0.9976,732,25.138,15.066,10.072,31,NSPF3_1,1,1.6218064516129,0.516129032258065,4,2018-06-21,2018-06-21,EnvChall,0.218098627351296,RIk6,2018-04-16,TRUE,7,0.893939393939394,-1.85741727773407,0.2733910306845,-266,NSPF3_1
23,IV,SGE1,NSPF4_1,5,587,36,5,9,IV_NSPF4_1,IV,626,0.9934,587,56.71,0.465,56.245,36,NSPF4_1,1,3.15055555555556,0.5,5,2018-07-09,2018-07-09,EnvChall,0.216575716234652,RIv8,2018-05-14,FALSE,0,1,-0.936663247863248,0.297435897435897,-374,NSPF4_1
24,JE,SGE1,SPF2_1,4,880,46,4,1,JE_SPF2_1,JE,880,1,880,36.932,23.486,13.446,46,SPF2_1,1,1.60573913043478,0.0434782608695652,4,2018-07-11,2018-07-11,EnvChall,0.221613832853026,RJe11,2018-05-23,FALSE,0,1,0.722635037079608,-0.25525061389571,-120,SPF2_1
25,JV,SGE1,SPF2_1,2,1176,46,2,0,JV_SPF2_1,JV,1176,1,1176,12.576,11.705,0.871,46,SPF2_1,1,0.546782608695652,0,2,2018-07-11,2018-07-11,EnvChall,0.221613832853026,JVA,2018-05-23,FALSE,8,0.836734693877551,-0.336321484659522,-0.298728874765275,176,SPF2_1
26,KK,SGE1,SPF2_1,5,336,28,5,19,KK_SPF2_1,KK,336,1,336,3.518,0,3.518,28,SPF2_1,1,0.251285714285714,1.35714285714286,5,2018-07-11,2018-07-11,EnvChall,0.221613832853026,RKk13,2018-05-23,FALSE,21,0.571428571428571,-0.63181837906946,1.05841398237758,-664,SPF2_1
27,LM,SGE1,NSPF3_1,2,1483,41,1,0,LM_NSPF3_1,LM,1472,0.9976,1483,123.682,17.175,106.507,41,NSPF3_1,1,6.03326829268293,0,1,2018-06-21,2018-06-21,EnvChall,0.218098627351296,RLm8,2018-04-16,FALSE,0,1,2.55404456333596,-0.242738001573564,472,NSPF3_1
28,LO,SGE1,NSPF3_1,3,1016,41,3,2,LO_NSPF3_1,LO,1026,0.9976,1016,73.928,40.603,33.325,41,NSPF3_1,1,3.60624390243902,0.0975609756097561,3,2018-06-21,2018-06-21,EnvChall,0.218098627351296,RLo9,2018-04-16,FALSE,0,1,0.127020173092053,-0.145177025963808,26,NSPF3_1
29,MG,SGE1,SPF4_1,4,1527,31,1,0,MG_SPF4_1,MG,1474,0.9752,1527,93.473,83.711,9.762,31,SPF4_1,1,6.03051612903226,0,1,2018-10-09,2018-10-09,EnvChall,0.445940078158923,RMg12,2018-09-17,FALSE,0,1,1.83049193548387,-1.28744239631336,528.25,SPF4_1
30,MI,SGE1,SPF3_1,3,206,11,5,34,MI_SPF3_1,MI,206,0.9963,206,15.19,14.84,0.350000000000001,11,SPF3_1,1,2.76181818181818,6.18181818181818,5,2018-10-11,2018-10-11,EnvChall,0.471448275862069,RMi12,2018-07-02,FALSE,35,0.653465346534653,0.340290909090909,2.75151515151515,-794,SPF3_1
31,MO,SGE1,SPF2_1,1,1696,47,1,0,MO_SPF2_1,MO,1696,1,1696,11.705,0,11.705,47,SPF2_1,1,0.498085106382979,0,1,2018-07-11,2018-07-11,EnvChall,0.221613832853026,77_06,2018-05-23,FALSE,0,1,-0.385018986972196,-0.298728874765275,696,SPF2_1
32,NN,SGE1,SPF4_1,5,419,28,4,45,NN_SPF4_1,NN,361,0.9752,419,45.43,10.012,35.418,28,SPF4_1,1,3.245,3.21428571428571,4,2018-10-09,2018-10-09,EnvChall,0.445940078158923,RNn10,2018-09-17,FALSE,1,0.954545454545455,-0.955024193548387,1.92684331797235,-584.75,SPF4_1
33,PH,SGE1,NSPF2_1,5,889,44,4,5,PH_NSPF2_1,PH,889,0.9918,889,27.833,9.911,17.922,44,NSPF2_1,1,1.26513636363636,0.227272727272727,4,2018-06-25,2018-06-25,EnvChall,0.346666666666667,RPh7,2018-03-21,FALSE,0,1,-2.26055968460111,-0.36711605854463,-111,NSPF2_1
34,PT,SGE1,NSPF4_1,1,871,39,4,2,PT_NSPF4_1,PT,885,0.9934,871,90.569,71.6,18.969,39,NSPF4_1,1,4.6445641025641,0.102564102564103,3,2018-07-09,2018-07-09,EnvChall,0.216575716234652,RPt8,2018-05-14,FALSE,0,1,0.557345299145299,-0.1,-115,NSPF4_1
35,PZ,SGE1,NSPF5_1,3,1444,21,1,0,PZ_NSPF5_1,PZ,1444,0.9801,1444,110.923,72.279,38.644,21,NSPF5_1,1,10.5640952380952,0,1,2018-10-02,2018-10-02,EnvChall,0.333795654184004,RPz13,2018-09-10,TRUE,0,1,5.08575860805861,-0.196153846153846,250.25,NSPF5_1
36,QT,SGE1,SPF1_1,1,811,48,4,19,QT_SPF1_1,QT,811,0.9969,811,52.439,38.723,13.716,48,SPF1_1,1,2.18495833333333,0.791666666666667,4,2018-06-27,2018-06-27,EnvChall,0.469656992084433,RQt8,2018-03-20,FALSE,4,0.95959595959596,-1.52623936170213,-0.179964539007092,-189,SPF1_1
37,QV,SGE1,NSPF1_1,2,1171,30,3,0,QV_NSPF1_1,QV,1171,0.973,1171,48.193,7.272,40.921,30,NSPF1_1,1,3.21286666666667,0,3,2018-09-26,2018-09-26,EnvChall,0.314285714285714,RQv5,2018-09-10,TRUE,0,1,0.34421858361142,-0.909454949944383,171,NSPF1_1
38,RN,SGE1,NSPF2_1,1,1366,48,1,0,RN_NSPF2_1,RN,1366,0.9918,1366,67.206,10.64,56.566,48,NSPF2_1,1,2.80025,0,1,2018-06-25,2018-06-25,EnvChall,0.346666666666667,RRn9,2018-03-21,FALSE,0,1,-0.725446048237477,-0.594388785817357,366,NSPF2_1
39,RZ,SGE1,NSPF1_1,4,1244,31,2,0,RZ_NSPF1_1,RZ,1244,0.973,1244,47.447,17.205,30.242,31,NSPF1_1,1,3.06109677419355,0,2,2018-09-26,2018-09-26,EnvChall,0.314285714285714,RRz6,2018-09-10,FALSE,0,1,0.192448691138302,-0.909454949944383,244,NSPF1_1
40,SD,SGE1,SPF1_1,5,432,47,5,75,SD_SPF1_1,SD,432,0.9969,432,66.915,60.409,6.506,47,SPF1_1,1,2.84744680851064,3.19148936170213,5,2018-06-27,2018-06-27,EnvChall,0.469656992084433,RSd4,2018-03-20,FALSE,0,1,-0.863750886524822,2.21985815602837,-568,SPF1_1
41,SM,SGE1,NSPF1_1,1,1387,31,1,0,SM_NSPF1_1,SM,1387,0.973,1387,62.473,43.412,19.061,31,NSPF1_1,1,4.03051612903226,0,1,2018-09-26,2018-09-26,EnvChall,0.314285714285714,RSm8,2018-09-10,TRUE,0,1,1.16186804597701,-0.909454949944383,387,NSPF1_1
42,SS,SGE1,SPF1_1,2,1435,48,2,0,SS_SPF1_1,SS,1435,0.9969,1435,116.724,73.772,42.952,48,SPF1_1,1,4.8635,0,2,2018-06-27,2018-06-27,EnvChall,0.469656992084433,RSs10,2018-03-20,FALSE,0,1,1.15230230496454,-0.971631205673759,435,SPF1_1
43,TA,SGE1,SPF4_1,2,1147,31,2,3,TA_SPF4_1,TA,1042,0.9752,1147,54.54,2.58,51.96,31,SPF4_1,1,3.51870967741935,0.193548387096774,2,2018-10-09,2018-10-09,EnvChall,0.445940078158923,RTa11,2018-09-17,FALSE,0,1,-0.681314516129032,-1.09389400921659,96.25,SPF4_1
44,TM,SGE1,NSPF4_1,3,1265,39,2,3,TM_NSPF4_1,TM,1214,0.9934,1265,49.342,7.402,41.94,39,NSPF4_1,1,2.53035897435897,0.153846153846154,2,2018-07-09,2018-07-09,EnvChall,0.216575716234652,RTm13,2018-05-14,FALSE,0,1,-1.55685982905983,-0.0487179487179487,214,NSPF4_1
45,TR,SGE1,NSPF4_1,2,873,39,3,5,TR_NSPF4_1,TR,884,0.9934,873,102.088,46.94,55.148,39,NSPF4_1,1,5.23528205128205,0.256410256410256,4,2018-07-09,2018-07-09,EnvChall,0.216575716234652,RTr13,2018-05-14,FALSE,0,1,1.14806324786325,0.0538461538461538,-116,NSPF4_1
46,VT,SGE1,SPF3_1,2,1750,33,1,0,VT_SPF3_1,VT,1750,0.9963,1750,52.119,18.739,33.38,33,SPF3_1,1,3.15872727272727,0,1,2018-10-11,2018-10-11,EnvChall,0.471448275862069,RVt12,2018-07-02,FALSE,0,1,0.7372,-3.43030303030303,750,SPF3_1
47,WM,SGE1,NSPF5_1,5,979,26,3,5,WM_NSPF5_1,WM,1012,0.9801,979,25.134,11.372,13.762,26,NSPF5_1,1,1.93338461538462,0.384615384615385,3,2018-10-02,2018-10-02,EnvChall,0.333795654184004,RWm14,2018-09-10,FALSE,8,0.636363636363636,-3.54495201465201,0.188461538461538,-181.75,NSPF5_1
48,YR,SGE1,SPF3_1,5,610,33,4,145,YR_SPF3_1,YR,530,0.9963,610,21.401,4.20200000000001,17.199,33,SPF3_1,1,1.2970303030303,8.78787878787879,4,2018-10-11,2018-10-11,EnvChall,0.471448275862069,RYr14,2018-07-02,FALSE,0,1,-1.12449696969697,5.35757575757576,-470,SPF3_1
49,YZ,SGE1,SPF1_1,3,847,48,3,21,YZ_SPF1_1,YZ,847,0.9969,847,45.67,33.901,11.769,48,SPF1_1,1,1.90291666666667,0.875,3,2018-06-27,2018-06-27,EnvChall,0.469656992084433,RYz6,2018-03-20,FALSE,0,1,-1.80828102836879,-0.0966312056737588,-153,SPF1_1
