ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
17,GQ,SGE2,NSPF5,3,926,18,4,1,GQ_NSPF5,GQ,926,GQ,956,0.993,1,0.95,0.133,1,0.3,926,62.589,18.16,44.429,18,NSPF5,2,6.95433333333333,0.111111111111111,4,4,2019-10-07,2019-10-07,EnvChall,0.239637305699482,RGq10,2019-07-05,FALSE,0,1,0.932596405228758,0.0833333333333333,-168,NSPF5
18,GU,SGE2,NSPF1,4,1347,26,2,0,GU_NSPF1,GU,1314,GU,1258,0.9923,0.987654320987654,1,0.372,1,0.376,1347,120.61,104.981,15.629,26,NSPF1,2,9.27769230769231,0,2,2,2019-08-27,2019-08-27,EnvChall,0.472914875322442,RGu10,2019-05-06,FALSE,0,1,3.8676512541806,-0.665217391304348,314,NSPF1
19,HT,SGE2,SPF4,3,837,13,3,7,HT_SPF4,HT,828,HT,1027,0.9946,1,1,0.376,1,0.378,837,11.479,10.466,1.013,13,SPF4,2,1.766,1.07692307692308,3,3,2019-11-13,2019-11-13,EnvChall,0.549053356282272,RHt8,2019-08-21,FALSE,0,1,-0.767538461538462,0.564102564102564,-328,SPF4
20,IV,SGE2,NSPF5,2,1092,18,2,0,IV_NSPF5,IV,1092,IV,1066,0.993,1,0.95,0.133,1,0.3,1092,72.478,37.659,34.819,18,NSPF5,2,8.05311111111111,0,2,2,2019-10-07,2019-10-07,EnvChall,0.239637305699482,RIv8,2019-07-05,FALSE,0,1,2.03137418300654,-0.0277777777777778,-2,NSPF5
21,JE,SGE2,SPF2,2,1261,19,1,0,JE_SPF2,JE,1195,JE,1173,1,1,1,0.769,1,0.746,1261,22.514,2.984,19.53,19,SPF2,2,2.36989473684211,0,1,1,2019-10-03,2019-10-03,EnvChall,0.401253918495298,RJe11,2019-07-05,FALSE,0,1,0.385614035087719,-0.0350877192982456,195,SPF2
22,JV,SGE2,SPF5,1,1347,12,2,0,JV_SPF5,JV,1347,JV,1334,0.9835,0.982300884955752,1,0.136,1,0.204,1347,52.615,17.714,34.901,12,SPF5,2,8.76916666666667,0,2,2,2019-11-11,2019-11-11,EnvChall,0.360529217199559,JVA,2019-10-25,FALSE,0,1,1.66089696969697,-1.01515151515152,347,SPF5
23,KK,SGE2,SPF1,4,1113,17,2,2,KK_SPF1,KK,1150,KK,1159,0.9995,0.975903614457831,0.7,0.293,1,0.517,1113,22.225,9.772,12.453,17,SPF1,2,2.61470588235294,0.235294117647059,2,2,2019-10-10,2019-10-10,EnvChall,0.399577167019027,RKk13,2019-07-19,FALSE,9,0.891566265060241,0.769451926384589,-0.428792569659443,110,SPF1
24,LM,SGE2,NSPF1,3,908,23,3,3,LM_NSPF1,LM,944,LM,982,0.9923,0.987654320987654,1,0.372,1,0.376,908,16.341,10.758,5.583,23,NSPF1,2,1.42095652173913,0.260869565217391,3,3,2019-08-27,2019-08-27,EnvChall,0.472914875322442,RLm8,2019-05-06,FALSE,25,0.778761061946903,-3.98908453177258,-0.404347826086956,-56,NSPF1
25,LO,SGE2,NSPF4,3,966,19,3,6,LO_NSPF4,LO,965,LO,997,0.9991,1,0.95,0.146,1,0.328,966,102.997,54.434,48.563,19,NSPF4,2,10.8417894736842,0.631578947368421,3,3,2019-10-16,2019-10-16,EnvChall,0.502623294858342,RLo9,2019-07-19,FALSE,0,1,0.535752046783626,0.160233918128655,-35,NSPF4
26,MD,SGE2,NSPF5,1,1316,18,1,0,MD_NSPF5,MD,1316,MD,1198,0.993,1,0.95,0.133,1,0.3,1316,41.152,29.643,11.509,18,NSPF5,2,4.57244444444444,0,1,1,2019-10-07,2019-10-07,EnvChall,0.239637305699482,RMd11,2019-07-05,FALSE,0,1,-1.44929248366013,-0.0277777777777778,222,NSPF5
27,MG,SGE2,SPF3,5,1437,20,1,0,MG_SPF3,MG,1459,MG,1309,0.995,1,1,0.114,1,0.218,1437,92.33,37.509,54.821,20,SPF3,2,9.233,0,1,1,2019-10-18,2019-10-18,EnvChall,0.490451388888889,RMg12,2019-07-24,FALSE,0,1,2.07712666666667,-0.74,459,SPF3
28,MI,SGE2,SPF1,2,751,18,4,18,MI_SPF1,MI,664,MI,865,0.9995,0.975903614457831,0.7,0.293,1,0.517,751,12.752,10.376,2.376,18,SPF1,2,1.41688888888889,2,5,5,2019-10-10,2019-10-10,EnvChall,0.399577167019027,RMi12,2019-07-19,TRUE,7,0.91566265060241,-0.428365067079463,1.3359133126935,-376,SPF1
29,NN,SGE2,SPF1,1,1516,14,1,0,NN_SPF1,NN,1546,NN,1341,0.9995,0.975903614457831,0.7,0.293,1,0.517,1516,14.175,0,14.175,14,SPF1,2,2.025,0,1,1,2019-10-10,2019-10-10,EnvChall,0.399577167019027,RNn10,2019-07-19,TRUE,0,1,0.179746044031648,-0.664086687306502,506,SPF1
30,NP,SGE2,NSPF3,5,1059,20,3,3,NP_NSPF3,NP,1059,NP,1080,0.9986,1,1,0.112,1,0.112,1059,96.769,47.435,49.334,20,NSPF3,2,9.6769,0.3,3,3,2019-10-14,2019-10-14,EnvChall,0.521276595744681,RNp9,2019-07-19,FALSE,0,1,0.858774117647059,-0.841176470588235,59,NSPF3
