ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
15,FY,SGE2,SPF2,1,1021,19,2,0,FY_SPF2,FY,1067,FY,1033,1,1,1021,7.93,1.304,6.626,19,SPF2,2,0.834736842105263,0,2,2019-10-03,2019-10-03,EnvChall,0.401253918495298,RFy11,2019-07-05,FALSE,0,1
16,GA,SGE2,SPF3,3,1194,20,2,0,GA_SPF3,GA,1236,GA,1032,0.995,1,1194,46.187,17.859,28.328,20,SPF3,2,4.6187,0,2,2019-10-18,2019-10-18,EnvChall,0.490451388888889,RGa13,2019-07-24,TRUE,0,1
17,GL,SGE2,SPF3,1,1134,20,3,1,GL_SPF3,GL,1123,GL,953,0.995,1,1134,88.842,56.706,32.136,20,SPF3,2,8.8842,0.1,3,2019-10-18,2019-10-18,EnvChall,0.490451388888889,RGl11,2019-07-24,TRUE,0,1
18,GQ,SGE2,NSPF5,3,926,18,4,1,GQ_NSPF5,GQ,926,GQ,956,0.993,1,926,62.589,18.16,44.429,18,NSPF5,2,6.95433333333333,0.111111111111111,4,2019-10-07,2019-10-07,EnvChall,0.239637305699482,RGq10,2019-07-05,FALSE,0,1
19,GU,SGE2,NSPF1,4,1347,26,2,0,GU_NSPF1,GU,1314,GU,1258,0.9923,0.987654320987654,1347,120.61,104.981,15.629,26,NSPF1,2,9.27769230769231,0,2,2019-08-27,2019-08-27,EnvChall,0.472914875322442,RGu10,2019-05-06,FALSE,0,1
20,HT,SGE2,SPF4,3,837,13,3,7,HT_SPF4,HT,828,HT,1027,0.9946,1,837,11.479,10.466,1.013,13,SPF4,2,1.766,1.07692307692308,3,2019-11-13,2019-11-13,EnvChall,0.549053356282272,RHt8,2019-08-21,FALSE,0,1
21,IV,SGE2,NSPF5,2,1092,18,2,0,IV_NSPF5,IV,1092,IV,1066,0.993,1,1092,72.478,37.659,34.819,18,NSPF5,2,8.05311111111111,0,2,2019-10-07,2019-10-07,EnvChall,0.239637305699482,RIv8,2019-07-05,FALSE,0,1
22,JE,SGE2,SPF2,2,1261,19,1,0,JE_SPF2,JE,1195,JE,1173,1,1,1261,22.514,2.984,19.53,19,SPF2,2,2.36989473684211,0,1,2019-10-03,2019-10-03,EnvChall,0.401253918495298,RJe11,2019-07-05,FALSE,0,1
23,JV,SGE2,SPF5,1,1347,12,2,0,JV_SPF5,JV,1347,JV,1334,0.9835,0.982300884955752,1347,52.615,17.714,34.901,12,SPF5,2,8.76916666666667,0,2,2019-11-11,2019-11-11,EnvChall,0.360529217199559,JVA,2019-10-25,FALSE,0,1
24,KK,SGE2,SPF1,4,1113,17,2,2,KK_SPF1,KK,1150,KK,1159,0.9995,0.975903614457831,1113,22.225,9.772,12.453,17,SPF1,2,2.61470588235294,0.235294117647059,2,2019-10-10,2019-10-10,EnvChall,0.399577167019027,RKk13,2019-07-19,FALSE,9,0.891566265060241
