ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
22,IK,SGE1,NSPF3_1,4,732,31,4,24,IK_NSPF3_1,IK,664,0.9995,1,732,44.599,17.966,26.633,31,NSPF3_1,1,2.87735483870968,1.54838709677419,4,NA,2019-03-13,WholePhase,1,RIk6,2018-04-16,TRUE,14,0.6797583081571
23,IV,SGE1,NSPF4_1,5,587,36,5,39,IV_NSPF4_1,IV,457,0.9977,0.957317073170732,587,93.591,3.942,89.649,36,NSPF4_1,1,5.1995,2.16666666666667,5,NA,2019-03-13,WholePhase,1,RIv8,2018-05-14,FALSE,19,0.937293729372937
24,JE,SGE1,SPF2_1,4,880,46,4,27,JE_SPF2_1,JE,758,0.9995,0.997212543554007,880,174.836,112.805,62.031,46,SPF2_1,1,7.6015652173913,1.17391304347826,4,NA,2019-03-13,WholePhase,1,RJe11,2018-05-23,FALSE,34,0.884353741496599
25,JV,SGE1,SPF2_1,2,1176,46,2,1,JV_SPF2_1,JV,1398,0.9995,0.997212543554007,1176,102.785,82.423,20.362,46,SPF2_1,1,4.46891304347826,0.0434782608695652,2,NA,2019-03-13,WholePhase,1,JVA,2018-05-23,FALSE,8,0.972789115646258
26,KK,SGE1,SPF2_1,5,336,28,5,154,KK_SPF2_1,KK,134,0.9995,0.997212543554007,336,7.135,3.011,4.124,28,SPF2_1,1,0.509642857142857,11,5,NA,2019-03-13,WholePhase,1,RKk13,2018-05-23,FALSE,38,0.870748299319728
27,LM,SGE1,NSPF3_1,2,1483,41,1,0,LM_NSPF3_1,LM,1718,0.9995,1,1483,276.847,69.806,207.041,41,NSPF3_1,1,13.5047317073171,0,1,NA,2019-03-13,WholePhase,1,RLm8,2018-04-16,FALSE,0,1
28,LO,SGE1,NSPF3_1,3,1016,41,3,4,LO_NSPF3_1,LO,1020,0.9995,1,1016,197.609,97.347,100.262,41,NSPF3_1,1,9.63946341463415,0.195121951219512,3,NA,2019-03-13,WholePhase,1,RLo9,2018-04-16,FALSE,0,1
29,MG,SGE1,SPF4_1,4,1527,31,1,0,MG_SPF4_1,MG,1619,0.9944,0.844155844155844,1527,229.337,204.246,25.091,31,SPF4_1,1,14.795935483871,0,1,NA,2019-03-13,WholePhase,1,RMg12,2018-09-17,FALSE,0,1
30,MI,SGE1,SPF3_1,3,206,11,5,34,MI_SPF3_1,MI,206,0.998,0.988105352591334,206,15.19,14.84,0.350000000000001,11,SPF3_1,1,2.76181818181818,6.18181818181818,5,NA,2019-03-13,WholePhase,1,RMi12,2018-07-02,FALSE,58,0.771653543307087
31,MO,SGE1,SPF2_1,1,1696,47,1,0,MO_SPF2_1,MO,1893,0.9995,0.997212543554007,1696,98.586,13.914,84.672,47,SPF2_1,1,4.19514893617021,0,1,NA,2019-03-13,WholePhase,1,77_06,2018-05-23,FALSE,0,1
