ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
1,AI,SGE1,NSPF2_1,2,1240,49,2,0,AI_NSPF2_1,AI,1566,AI,1134,0.9971,0.987654320987654,1240,445.63,262.776,182.854,49,NSPF2_1,1,18.1889795918367,0,1,1,NA,2019-03-13,WholePhase,1,RAi10,2018-03-21,TRUE,0,1,5.45553704803133,-1.73280251494537,566,NSPF2_1
2,AZ,SGE1,SPF5_1,5,150,36,5,56,AZ_SPF5_1,AZ,40,AZ,515,0.9982,0.996428571428571,150,50.217,45.363,4.854,36,SPF5_1,1,2.78983333333333,3.11111111111111,5,5,NA,2019-03-13,WholePhase,1,RAz15,2018-07-08,FALSE,20,0.919354838709677,-0.569125134040924,1.99722313406524,-960,SPF5_1
3,BI,SGE1,NSPF1_1,5,353,31,5,95,BI_NSPF1_1,BI,493,BI,444,0.994,0.91304347826087,353,160.401,82.172,78.229,31,NSPF1_1,1,10.3484516129032,6.12903225806452,4,4,NA,2019-03-13,WholePhase,1,RBi10,2018-09-10,FALSE,0,1,-1.69784566555432,4.440489432703,-507,NSPF1_1
4,BM,SGE1,NSPF2_1,3,335,45,5,170,BM_NSPF2_1,BM,147,BM,670,0.9971,0.987654320987654,335,228.754,136.484,92.27,45,NSPF2_1,1,10.1668444444444,7.55555555555556,5,5,NA,2019-03-13,WholePhase,1,RBm7,2018-03-21,FALSE,23,0.935574229691877,-2.56659809936096,5.82275304061018,-853,NSPF2_1
5,BW,SGE1,SPF3_1,1,1469,33,2,1,BW_SPF3_1,BW,1489,BW,1315,0.998,0.988105352591334,1469,44.325,29.785,14.54,33,SPF3_1,1,2.68636363636364,0.0606060606060606,2,2,NA,2019-03-13,WholePhase,1,RBw12,2018-07-02,FALSE,11,0.956692913385827,-1.54112727272727,-4.47272727272727,489,SPF3_1
6,CG,SGE1,SPF5_1,3,1157,38,3,12,CG_SPF5_1,CG,1073,CG,1173,0.9982,0.996428571428571,1157,66.894,17.443,49.451,38,SPF5_1,1,3.52073684210526,0.631578947368421,3,3,NA,2019-03-13,WholePhase,1,RCg16,2018-07-08,FALSE,0,1,0.161778374731007,-0.482309029677451,73,SPF5_1
7,CL,SGE1,NSPF3_1,5,645,40,5,52,CL_NSPF3_1,CL,473,CL,661,0.9995,1,645,257.511,221.423,36.088,40,NSPF3_1,1,12.87555,2.6,5,5,NA,2019-03-13,WholePhase,1,RCl13,2018-04-16,FALSE,1,0.996978851963746,3.72955000786782,1.70129819040126,-527,NSPF3_1
8,CV,SGE1,NSPF5_1,4,953,30,4,18,CV_NSPF5_1,CV,785,CV,963,0.9938,0.988142292490119,953,314.711,149.44,165.271,30,NSPF5_1,1,20.9807333333333,1.2,4,4,NA,2019-03-13,WholePhase,1,RCv9,2018-09-10,FALSE,13,0.929347826086957,4.77649914529914,0.444444444444444,-354,NSPF5_1
9,DJ,SGE1,SPF5_1,1,1367,39,2,4,DJ_SPF5_1,DJ,1509,DJ,1179,0.9982,0.996428571428571,1367,95.183,47.785,47.398,39,SPF5_1,1,4.88117948717949,0.205128205128205,2,2,NA,2019-03-13,WholePhase,1,RDj15,2018-07-08,FALSE,0,1,1.52222101980523,-0.908759771917667,509,SPF5_1
10,ED,SGE1,NSPF2_1,4,1170,49,3,15,ED_NSPF2_1,ED,1074,ED,1111,0.9971,0.987654320987654,1170,321.023,159.752,161.271,49,NSPF2_1,1,13.1029795918367,0.612244897959184,3,3,NA,2019-03-13,WholePhase,1,REd8,2018-03-21,FALSE,0,1,0.369537048031335,-1.12055761698619,74,NSPF2_1
