ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
11,ED,SGE1,NSPF2_1,4,1170,49,3,15,ED_NSPF2_1,ED,1078,ED,1111,0.997,0.987525987525988,1,0.095,1,0.116,1170,285.432,132.11,153.322,49,NSPF2_1,1,11.6502857142857,0.612244897959184,3,3,2019-02-05,2019-02-05,Vax,0.965454545454545,REd8,2018-03-21,FALSE,0,1
12,ET,SGE1,SPF5_1,4,633,37,4,27,ET_SPF5_1,ET,504,ET,809,0.9986,0.996240601503759,1,0.108,1,0.116,633,25.665,3.29,22.375,37,SPF5_1,1,1.3872972972973,1.45945945945946,4,4,2019-01-28,2019-01-28,Vax,0.936175710594315,REt12,2018-07-08,FALSE,18,0.911764705882353
13,FN,SGE1,NSPF5_1,1,1404,30,2,1,FN_NSPF5_1,FN,1541,FN,1299,0.9935,0.987903225806452,1,0.129,1,0.114,1404,211.173,91.477,119.696,30,NSPF5_1,1,14.0782,0.0666666666666667,1,1,2019-02-11,2019-02-11,Vax,0.982431807674526,RFn14,2018-09-10,FALSE,0,1
14,FW,SGE1,SPF5_1,2,1693,38,1,0,FW_SPF5_1,FW,1892,FW,1324,0.9986,0.996240601503759,1,0.108,1,0.116,1693,64.512,37.833,26.679,38,SPF5_1,1,3.39536842105263,0,1,1,2019-01-28,2019-01-28,Vax,0.936175710594315,RFw12,2018-07-08,FALSE,0,1
15,FY,SGE1,SPF4_1,1,907,31,3,37,FY_SPF4_1,FY,820,FY,447,0.9929,0.836734693877551,0.95,0.141,1,0.308,907,125.581,62.431,63.15,31,SPF4_1,1,8.102,2.38709677419355,3,3,2019-01-28,2019-01-28,Vax,0.877551020408163,RFy11,2018-09-17,FALSE,0,1
16,GA,SGE1,SPF3_1,4,965,33,3,43,GA_SPF3_1,GA,913,GA,1088,0.9977,0.986525505293552,1,0.119,1,0.113,965,77.457,35.862,41.595,33,SPF3_1,1,4.69436363636364,2.60606060606061,3,3,2019-01-28,2019-01-22,Vax,0.870344827586207,RGa13,2018-07-02,FALSE,0,1
17,GL,SGE1,SPF2_1,3,912,43,3,16,GL_SPF2_1,GL,823,GL,876,0.9994,0.997078159240321,0.95,0.11,1,0.188,912,133.042,42.4,90.642,43,SPF2_1,1,6.188,0.744186046511628,3,3,2019-01-22,2019-01-22,Vax,0.926512968299712,RGl11,2018-05-23,FALSE,26,0.89344262295082
18,GQ,SGE1,NSPF3_1,1,1124,40,2,3,GQ_NSPF3_1,GQ,1125,GQ,1234,0.9995,1,1,0.109,1,0.115,1124,136.658,50.07,86.588,40,NSPF3_1,1,6.8329,0.15,2,2,2019-02-11,2019-02-11,Vax,1,RGq10,2018-04-16,FALSE,0,1
19,GU,SGE1,NSPF4_1,4,1404,39,1,0,GU_NSPF4_1,GU,1664,GU,1199,0.9981,0.955271565495208,1,0.11,1,0.129,1404,372.777,247.542,125.235,39,NSPF4_1,1,19.1167692307692,0,1,1,2019-02-11,2019-02-11,Vax,0.976807639836289,RGu10,2018-05-14,FALSE,0,1
20,HT,SGE1,SPF1_1,4,1475,48,1,0,HT_SPF1_1,HT,1665,HT,1293,0.9989,0.993485342019544,1,0.128,1,0.11,1475,317.226,54.138,263.088,48,SPF1_1,1,13.21775,0,1,1,2019-01-22,2019-01-22,Vax,0.937052393516773,RHt8,2018-03-20,FALSE,0,1
21,IE,SGE1,NSPF1_1,3,845,29,4,25,IE_NSPF1_1,IE,666,IE,960,0.9934,0.919504643962848,1,0.115,1,0.134,845,63.212,53.624,9.58800000000001,29,NSPF1_1,1,4.35944827586207,1.72413793103448,4,4,2019-02-05,2019-02-05,Vax,0.936585365853659,RIe6,2018-09-10,TRUE,15,0.898648648648649
22,IK,SGE1,NSPF3_1,4,732,31,4,24,IK_NSPF3_1,IK,664,IK,762,0.9995,1,1,0.109,1,0.115,732,44.599,17.966,26.633,31,NSPF3_1,1,2.87735483870968,1.54838709677419,4,4,NA,2019-02-11,Vax,1,RIk6,2018-04-16,TRUE,14,0.747508305647841
23,IV,SGE1,NSPF4_1,5,587,36,5,38,IV_NSPF4_1,IV,499,IV,831,0.9981,0.955271565495208,1,0.11,1,0.129,587,93.591,3.942,89.649,36,NSPF4_1,1,5.1995,2.11111111111111,5,5,2019-02-11,2019-02-11,Vax,0.976807639836289,RIv8,2018-05-14,FALSE,19,0.93040293040293
24,JE,SGE1,SPF2_1,4,880,46,4,25,JE_SPF2_1,JE,762,JE,739,0.9994,0.997078159240321,0.95,0.11,1,0.188,880,142.88,97.156,45.724,46,SPF2_1,1,6.21217391304348,1.08695652173913,4,4,2019-01-22,2019-01-22,Vax,0.926512968299712,RJe11,2018-05-23,FALSE,34,0.860655737704918
25,JV,SGE1,SPF2_1,2,1176,46,2,1,JV_SPF2_1,JV,1401,JV,1223,0.9994,0.997078159240321,0.95,0.11,1,0.188,1176,83.215,72.271,10.944,46,SPF2_1,1,3.61804347826087,0.0434782608695652,2,2,2019-01-22,2019-01-22,Vax,0.926512968299712,JVA,2018-05-23,FALSE,8,0.967213114754098
26,KK,SGE1,SPF2_1,5,336,28,5,154,KK_SPF2_1,KK,134,KK,686,0.9994,0.997078159240321,0.95,0.11,1,0.188,336,7.135,3.011,4.124,28,SPF2_1,1,0.509642857142857,11,5,5,2019-01-22,2019-01-22,Vax,0.926512968299712,RKk13,2018-05-23,FALSE,38,0.844262295081967
27,LM,SGE1,NSPF3_1,2,1483,41,1,0,LM_NSPF3_1,LM,1718,LM,1307,0.9995,1,1,0.109,1,0.115,1483,276.847,69.806,207.041,41,NSPF3_1,1,13.5047317073171,0,1,1,2019-02-11,2019-02-11,Vax,1,RLm8,2018-04-16,FALSE,0,1
28,LO,SGE1,NSPF3_1,3,1016,41,3,4,LO_NSPF3_1,LO,1020,LO,1036,0.9995,1,1,0.109,1,0.115,1016,197.609,97.347,100.262,41,NSPF3_1,1,9.63946341463415,0.195121951219512,3,3,2019-02-11,2019-02-11,Vax,1,RLo9,2018-04-16,FALSE,0,1
29,MG,SGE1,SPF4_1,4,1527,31,1,0,MG_SPF4_1,MG,1619,MG,1334,0.9929,0.836734693877551,0.95,0.141,1,0.308,1527,208.213,187.577,20.636,31,SPF4_1,1,13.4330967741935,0,1,1,2019-01-28,2019-01-28,Vax,0.877551020408163,RMg12,2018-09-17,FALSE,0,1
30,MI,SGE1,SPF3_1,3,206,11,5,34,MI_SPF3_1,MI,206,MI,500,0.9977,0.986525505293552,1,0.119,1,0.113,206,15.19,14.84,0.350000000000001,11,SPF3_1,1,2.76181818181818,6.18181818181818,5,5,2019-01-22,2019-01-22,Vax,0.870344827586207,RMi12,2018-07-02,FALSE,58,0.715686274509804
31,MO,SGE1,SPF2_1,1,1696,47,1,0,MO_SPF2_1,MO,1880,MO,1476,0.9994,0.997078159240321,0.95,0.11,1,0.188,1696,80.264,8.43,71.834,47,SPF2_1,1,3.41548936170213,0,1,1,2019-01-22,2019-01-22,Vax,0.926512968299712,77_06,2018-05-23,FALSE,0,1
32,NN,SGE1,SPF4_1,5,419,28,4,106,NN_SPF4_1,NN,214,NN,838,0.9929,0.836734693877551,0.95,0.141,1,0.308,419,82.162,21.564,60.598,28,SPF4_1,1,5.86871428571429,7.57142857142857,4,4,2019-01-28,2019-01-28,Vax,0.877551020408163,RNn10,2018-09-17,FALSE,28,0.789473684210526
33,PH,SGE1,NSPF2_1,5,889,44,4,10,PH_NSPF2_1,PH,756,PH,961,0.997,0.987525987525988,1,0.095,1,0.116,889,155.595,81.403,74.192,44,NSPF2_1,1,7.0725,0.454545454545455,4,4,2019-02-05,2019-02-05,Vax,0.965454545454545,RPh7,2018-03-21,FALSE,18,0.94392523364486
34,PT,SGE1,NSPF4_1,1,871,39,4,27,PT_NSPF4_1,PT,708,PT,897,0.9981,0.955271565495208,1,0.11,1,0.129,871,298.459,186.595,111.864,39,NSPF4_1,1,15.3055897435897,1.38461538461538,4,4,2019-02-11,2019-02-11,Vax,0.976807639836289,RPt8,2018-05-14,FALSE,0,1
35,PZ,SGE1,NSPF5_1,3,1444,21,1,0,PZ_NSPF5_1,PZ,1477,PZ,1308,0.9935,0.987903225806452,1,0.129,1,0.114,1444,249.775,128.879,120.896,21,NSPF5_1,1,23.7880952380952,0,2,2,NA,2019-02-11,Vax,0.982431807674526,RPz13,2018-09-10,TRUE,37,0.545454545454545
36,QT,SGE1,SPF1_1,1,811,48,4,63,QT_SPF1_1,QT,488,QT,852,0.9989,0.993485342019544,1,0.128,1,0.11,811,165.804,131.387,34.417,48,SPF1_1,1,6.9085,2.625,4,4,2019-01-22,2019-01-22,Vax,0.937052393516773,RQt8,2018-03-20,FALSE,4,0.987012987012987
37,QV,SGE1,NSPF1_1,2,1171,30,3,0,QV_NSPF1_1,QV,1530,QV,1124,0.9934,0.919504643962848,1,0.115,1,0.134,1171,249.967,76.463,173.504,30,NSPF1_1,1,16.6644666666667,0,1,1,2019-02-05,2019-02-05,Vax,0.936585365853659,RQv5,2018-09-10,TRUE,0,1
38,RN,SGE1,NSPF2_1,1,1366,48,1,1,RN_NSPF2_1,RN,1457,RN,1124,0.997,0.987525987525988,1,0.095,1,0.116,1366,302.823,90.32,212.503,48,NSPF2_1,1,12.617625,0.0416666666666667,2,2,2019-02-05,2019-02-05,Vax,0.965454545454545,RRn9,2018-03-21,FALSE,0,1
39,RZ,SGE1,NSPF1_1,4,1244,31,2,5,RZ_NSPF1_1,RZ,1021,RZ,1178,0.9934,0.919504643962848,1,0.115,1,0.134,1244,190.344,122.569,67.775,31,NSPF1_1,1,12.2802580645161,0.32258064516129,3,3,2019-02-05,2019-02-05,Vax,0.936585365853659,RRz6,2018-09-10,FALSE,0,1
40,SD,SGE1,SPF1_1,5,432,47,5,108,SD_SPF1_1,SD,382,SD,602,0.9989,0.993485342019544,1,0.128,1,0.11,432,105.972,88.042,17.93,47,SPF1_1,1,4.50944680851064,4.59574468085106,5,5,2019-01-22,2019-01-22,Vax,0.937052393516773,RSd4,2018-03-20,FALSE,2,0.993506493506494
41,SM,SGE1,NSPF1_1,1,1387,31,1,1,SM_NSPF1_1,SM,1438,SM,1294,0.9934,0.919504643962848,1,0.115,1,0.134,1387,248.508,119.946,128.562,31,NSPF1_1,1,16.0327741935484,0.0645161290322581,2,2,2019-02-05,2019-02-05,Vax,0.936585365853659,RSm8,2018-09-10,TRUE,0,1
42,SS,SGE1,SPF1_1,2,1435,48,2,3,SS_SPF1_1,SS,1457,SS,1296,0.9989,0.993485342019544,1,0.128,1,0.11,1435,187.874,104.786,83.088,48,SPF1_1,1,7.82808333333333,0.125,2,2,2019-01-22,2019-01-22,Vax,0.937052393516773,RSs10,2018-03-20,FALSE,2,0.993506493506494
43,TA,SGE1,SPF4_1,2,1147,31,2,4,TA_SPF4_1,TA,1130,TA,1164,0.9929,0.836734693877551,0.95,0.141,1,0.308,1147,138.294,5.553,132.741,31,SPF4_1,1,8.9221935483871,0.258064516129032,2,2,2019-01-28,2019-01-28,Vax,0.877551020408163,RTa11,2018-09-17,FALSE,0,1
44,TM,SGE1,NSPF4_1,3,1265,39,2,4,TM_NSPF4_1,TM,1321,TM,1073,0.9981,0.955271565495208,1,0.11,1,0.129,1265,282.924,47.604,235.32,39,NSPF4_1,1,14.5089230769231,0.205128205128205,2,2,2019-02-11,2019-02-11,Vax,0.976807639836289,RTm13,2018-05-14,FALSE,0,1
45,TR,SGE1,NSPF4_1,2,873,39,3,27,TR_NSPF4_1,TR,808,TR,1000,0.9981,0.955271565495208,1,0.11,1,0.129,873,321.345,198.865,122.48,39,NSPF4_1,1,16.4792307692308,1.38461538461538,3,3,2019-02-11,2019-02-11,Vax,0.976807639836289,RTr13,2018-05-14,FALSE,0,1
46,VT,SGE1,SPF3_1,2,1750,33,1,0,VT_SPF3_1,VT,1955,VT,1274,0.9977,0.986525505293552,1,0.119,1,0.113,1750,83.382,28.107,55.275,33,SPF3_1,1,5.05345454545455,0,1,1,2019-01-28,2019-01-22,Vax,0.870344827586207,RVt12,2018-07-02,FALSE,0,1
47,WM,SGE1,NSPF5_1,5,979,26,3,13,WM_NSPF5_1,WM,1091,WM,1085,0.9935,0.987903225806452,1,0.129,1,0.114,979,176.199,104.515,71.684,26,NSPF5_1,1,13.5537692307692,1,3,3,2019-02-11,2019-02-11,Vax,0.982431807674526,RWm14,2018-09-10,FALSE,8,0.948051948051948
48,YR,SGE1,SPF3_1,5,610,33,4,184,YR_SPF3_1,YR,451,YR,823,0.9977,0.986525505293552,1,0.119,1,0.113,610,56.183,32.397,23.786,33,SPF3_1,1,3.4050303030303,11.1515151515152,4,4,2019-01-28,2019-01-22,Vax,0.870344827586207,RYr14,2018-07-02,FALSE,0,1
49,YZ,SGE1,SPF1_1,3,847,48,3,35,YZ_SPF1_1,YZ,1008,YZ,957,0.9989,0.993485342019544,1,0.128,1,0.11,847,114.432,67.301,47.131,48,SPF1_1,1,4.768,1.45833333333333,3,3,2019-01-22,2019-01-22,Vax,0.937052393516773,RYz6,2018-03-20,FALSE,0,1
