ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
1,AI,SGE1,NSPF2_1,2,1240,49,2,0,AI_NSPF2_1,AI,1562,AI,1134,0.997,0.987525987525988,1,0.095,1,0.116,1240,397.279,243.269,154.01,49,NSPF2_1,1,16.2154693877551,0,1,1,2019-02-05,2019-02-05,Vax,0.965454545454545,RAi10,2018-03-21,TRUE,0,1
2,AZ,SGE1,SPF5_1,5,150,36,5,53,AZ_SPF5_1,AZ,46,AZ,515,0.9986,0.996240601503759,1,0.108,1,0.116,150,40.703,36.03,4.673,36,SPF5_1,1,2.26127777777778,2.94444444444444,5,5,2019-01-28,2019-01-28,Vax,0.936175710594315,RAz15,2018-07-08,FALSE,20,0.901960784313726
3,BI,SGE1,NSPF1_1,5,353,31,5,95,BI_NSPF1_1,BI,345,BI,444,0.9934,0.919504643962848,1,0.115,1,0.134,353,157.517,82.172,75.345,31,NSPF1_1,1,10.1623870967742,6.12903225806452,5,5,2019-02-05,2019-02-05,Vax,0.936585365853659,RBi10,2018-09-10,FALSE,0,1
4,BM,SGE1,NSPF2_1,3,335,45,5,168,BM_NSPF2_1,BM,147,BM,670,0.997,0.987525987525988,1,0.095,1,0.116,335,198.789,122.857,75.932,45,NSPF2_1,1,8.83506666666667,7.46666666666667,5,5,2019-02-05,2019-02-05,Vax,0.965454545454545,RBm7,2018-03-21,FALSE,23,0.928348909657321
5,BW,SGE1,SPF3_1,1,1469,33,2,1,BW_SPF3_1,BW,1475,BW,1315,0.9977,0.986525505293552,1,0.119,1,0.113,1469,33.252,21.526,11.726,33,SPF3_1,1,2.01527272727273,0.0606060606060606,2,2,2019-01-28,2019-01-22,Vax,0.870344827586207,RBw12,2018-07-02,FALSE,11,0.946078431372549
6,CG,SGE1,SPF5_1,3,1157,38,3,11,CG_SPF5_1,CG,1049,CG,1173,0.9986,0.996240601503759,1,0.108,1,0.116,1157,49.289,14.211,35.078,38,SPF5_1,1,2.59415789473684,0.578947368421053,3,3,2019-01-28,2019-01-28,Vax,0.936175710594315,RCg16,2018-07-08,FALSE,0,1
7,CL,SGE1,NSPF3_1,5,645,40,5,52,CL_NSPF3_1,CL,473,CL,661,0.9995,1,1,0.109,1,0.115,645,257.511,221.423,36.088,40,NSPF3_1,1,12.87555,2.6,5,5,2019-02-11,2019-02-11,Vax,1,RCl13,2018-04-16,FALSE,1,0.996677740863787
8,CV,SGE1,NSPF5_1,4,953,30,4,18,CV_NSPF5_1,CV,779,CV,963,0.9935,0.987903225806452,1,0.129,1,0.114,953,314.711,149.44,165.271,30,NSPF5_1,1,20.9807333333333,1.2,4,4,2019-02-11,2019-02-11,Vax,0.982431807674526,RCv9,2018-09-10,FALSE,13,0.915584415584416
9,DJ,SGE1,SPF5_1,1,1367,39,2,4,DJ_SPF5_1,DJ,1509,DJ,1179,0.9986,0.996240601503759,1,0.108,1,0.116,1367,71.721,34.581,37.14,39,SPF5_1,1,3.678,0.205128205128205,2,2,2019-01-28,2019-01-28,Vax,0.936175710594315,RDj15,2018-07-08,FALSE,0,1
10,DV,SGE1,NSPF5_1,2,220,27,5,394,DV_NSPF5_1,DV,112,DV,345,0.9935,0.987903225806452,1,0.129,1,0.114,220,17.17,10.203,6.967,27,NSPF5_1,1,1.27185185185185,29.1851851851852,5,5,2019-02-11,2019-02-11,Vax,0.982431807674526,DV2J,2018-09-10,FALSE,8,0.948051948051948
