ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
32,NP,SGE2,NSPF3,5,1059,20,3,10,NP_NSPF3,NP,1085,NP,1080,0.9993,1,1,0.094,1,0.11,1059,177.957,103.979,73.978,20,NSPF3,2,17.7957,1,3,3,2020-01-21,2020-01-21,Vax,1,RNp9,2019-07-19,FALSE,0,1
33,PH,SGE2,NSPF3,4,890,17,4,13,PH_NSPF3,PH,751,PH,1010,0.9993,1,1,0.094,1,0.11,890,87.579,28.364,59.215,17,NSPF3,2,10.3034117647059,1.52941176470588,4,4,2020-01-21,2020-01-21,Vax,1,RPh7,2019-07-19,FALSE,31,0.833333333333333
34,PT,SGE2,NSPF2,5,592,27,4,102,PT_NSPF2,PT,534,PT,843,0.9976,0.984848484848485,1,0.133,1,0.125,592,74.7,44.772,29.928,27,NSPF2,2,5.53333333333333,7.55555555555556,4,4,2020-02-04,2020-02-04,Vax,1,RPt8,2019-04-26,TRUE,50,0.823943661971831
35,RN,SGE2,NSPF1,2,389,20,4,54,RN_NSPF1,RN,225,RN,474,0.9958,0.995327102803738,1,0.383,1,0.37,389,28.243,13.656,14.587,20,NSPF1,2,2.8243,5.4,4,4,2020-01-21,2020-01-21,Vax,1,RRn9,2019-05-06,FALSE,40,0.846153846153846
36,RZ,SGE2,NSPF2,3,1462,29,2,1,RZ_NSPF2,RZ,1631,RZ,1263,0.9976,0.984848484848485,1,0.133,1,0.125,1462,62.307,32.066,30.241,29,NSPF2,2,4.29703448275862,0.0689655172413793,1,1,2020-02-04,2020-02-04,Vax,1,RRz6,2019-04-26,FALSE,0,1
37,SD,SGE2,SPF1,5,500,1,5,0,SD_SPF1,SD,840,SD,840,0.9983,0.979695431472081,0.75,0.329,1,0.436,500,0,0,0,1,SPF1,2,0,0,4,4,2020-02-24,2020-02-24,Vax,1,RSd4,2019-07-19,TRUE,5,0.0272727272727273
38,SS,SGE2,SPF5,3,901,12,4,18,SS_SPF5,SS,1029,SS,885,0.9921,0.987951807228916,1,0.13,1,0.128,901,76.7,38.634,38.066,12,SPF5,2,12.7833333333333,3,3,3,2020-02-24,2020-02-24,Vax,1,RSs10,2019-10-25,FALSE,0,1
39,TA,SGE2,SPF5,2,1409,12,1,0,TA_SPF5,TA,1407,TA,1404,0.9921,0.987951807228916,1,0.13,1,0.128,1409,92.119,17.253,74.866,12,SPF5,2,15.3531666666667,0,2,2,2020-02-24,2020-02-24,Vax,1,RTa11,2019-10-25,FALSE,0,1
40,TM,SGE2,NSPF4,4,799,19,4,16,TM_NSPF4,TM,761,TM,771,0.9995,1,1,0.121,1,0.201,799,149.696,66.931,82.765,19,NSPF4,2,15.7574736842105,1.68421052631579,4,4,2020-02-04,2020-02-04,Vax,1,RTm13,2019-07-19,FALSE,0,1
41,TR,SGE2,NSPF3,3,392,20,5,77,TR_NSPF3,TR,233,TR,502,0.9993,1,1,0.094,1,0.11,392,73.399,64.147,9.25200000000001,20,NSPF3,2,7.3399,7.7,5,5,2020-01-21,2020-01-21,Vax,1,RTr13,2019-07-19,FALSE,5,0.973118279569892
42,VH,SGE2,NSPF4,5,638,18,5,20,VH_NSPF4,VH,552,VH,873,0.9995,1,1,0.121,1,0.201,638,120.676,77.709,42.967,18,NSPF4,2,13.4084444444444,2.22222222222222,5,5,2020-02-04,2020-02-04,Vax,1,RVh7,2019-07-19,FALSE,11,0.945
43,VT,SGE2,SPF5,5,410,12,5,75,VT_SPF5,VT,298,VT,443,0.9921,0.987951807228916,1,0.13,1,0.128,410,25.511,24.334,1.177,12,SPF5,2,4.25183333333333,12.5,5,5,2020-02-24,2020-02-24,Vax,1,RVt12,2019-10-25,FALSE,12,0.901639344262295
44,WM,SGE2,NSPF3,2,1393,20,1,0,WM_NSPF3,WM,1491,WM,1247,0.9993,1,1,0.094,1,0.11,1393,160.27,81.723,78.547,20,NSPF3,2,16.027,0,1,1,2020-01-21,2020-01-21,Vax,1,RWm14,2019-07-19,FALSE,0,1
45,YR,SGE2,SPF2,3,718,19,3,11,YR_SPF2,YR,589,YR,794,1,1,1,0.764,1,0.74,718,60.225,50.296,9.92899999999999,19,SPF2,2,6.33947368421053,1.15789473684211,3,3,2020-01-27,2020-01-27,Vax,1,RYr14,2019-07-05,FALSE,0,1
46,YZ,SGE2,SPF3,4,505,15,5,11,YZ_SPF3,YZ,449,YZ,1000,0.9956,1,1,0.125,1,0.127,505,86.756,44.837,41.919,15,SPF3,2,11.5674666666667,1.46666666666667,5,5,2020-01-27,2020-01-27,Vax,1,RYz6,2019-07-24,FALSE,41,0.780748663101604
