ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
11,ET,SGE1,SPF5_1,4,633,37,4,19,ET_SPF5_1,ET,581,ET,809,0.9967,0.993650793650794,633,14.577,1.668,12.909,37,SPF5_1,1,0.787945945945946,1.02702702702703,4,4,2018-10-09,2018-10-09,SingleCell,0.522480620155039,REt12,2018-07-08,FALSE,18,0.806451612903226,-0.999022820391241,0.423645913119597,-419,SPF5_1
12,FN,SGE1,NSPF5_1,1,1404,30,2,1,FN_NSPF5_1,FN,1432,FN,1299,0.9866,0.988929889298893,1404,45.136,22.345,22.791,30,NSPF5_1,1,3.00906666666667,0.0666666666666667,2,2,NA,2018-10-15,SingleCell,0.452612112806288,RFn14,2018-09-10,FALSE,0,1,-6.27876172161172,-0.223076923076923,236,NSPF5_1
13,FW,SGE1,SPF5_1,2,1693,38,1,0,FW_SPF5_1,FW,1767,FW,1324,0.9967,0.993650793650794,1693,47.373,23.069,24.304,38,SPF5_1,1,2.49331578947368,0,1,1,2018-10-09,2018-10-09,SingleCell,0.522480620155039,RFw12,2018-07-08,FALSE,0,1,0.706347023136497,-0.60338111390743,767,SPF5_1
14,FY,SGE1,SPF4_1,1,907,31,3,27,FY_SPF4_1,FY,830,FY,447,0.9789,0.707762557077626,907,69.954,39.327,30.627,31,SPF4_1,1,4.51316129032258,1.74193548387097,3,3,2018-10-17,2018-10-17,SingleCell,0.516717325227964,RFy11,2018-09-17,FALSE,0,1,-1.10161232718894,0.454493087557604,-115.75,SPF4_1
15,GA,SGE1,SPF3_1,4,965,33,3,35,GA_SPF3_1,GA,975,GA,1088,0.9963,0.991489361702128,965,53.03,25.587,27.443,33,SPF3_1,1,3.21393939393939,2.12121212121212,3,3,2018-10-18,2018-10-18,SingleCell,0.471448275862069,RGa13,2018-07-02,FALSE,0,1,0.792412121212121,-1.30909090909091,-25,SPF3_1
16,GL,SGE1,SPF2_1,3,912,43,3,9,GL_SPF2_1,GL,800,GL,876,0.9995,0.998003992015968,912,93.867,32.548,61.319,43,SPF2_1,1,4.36590697674419,0.418604651162791,4,4,2018-10-10,2018-10-10,SingleCell,0.61671469740634,RGl11,2018-05-23,FALSE,18,0.871428571428571,1.6721165289307,-1.54896721074679,-200,SPF2_1
17,GQ,SGE1,NSPF3_1,1,1124,40,2,0,GQ_NSPF3_1,GQ,1159,GQ,1234,0.9992,1,1124,59.148,43.216,15.932,40,NSPF3_1,1,2.9574,0,2,2,2018-10-04,2018-10-04,SingleCell,0.577020843924758,RGq10,2018-04-16,FALSE,0,1,-2.50810340676633,-0.65177025963808,159,NSPF3_1
18,GU,SGE1,NSPF4_1,4,1404,39,1,0,GU_NSPF4_1,GU,1534,GU,1199,0.9971,0.951807228915663,1404,235.808,167.238,68.57,39,NSPF4_1,1,12.0927179487179,0,1,1,2018-10-12,2018-10-12,SingleCell,0.59106412005457,RGu10,2018-05-14,FALSE,0,1,3.04930769230769,-0.487179487179487,534,NSPF4_1
19,HT,SGE1,SPF1_1,4,1475,48,1,0,HT_SPF1_1,HT,1599,HT,1293,0.9984,1,1475,257.764,39.659,218.105,48,SPF1_1,1,10.7401666666667,0,1,1,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RHt8,2018-03-20,FALSE,0,1,4.79212358156028,-1.45939716312057,599,SPF1_1
20,IE,SGE1,NSPF1_1,3,845,29,4,7,IE_NSPF1_1,IE,842,IE,960,0.9751,1,845,41.873,41.024,0.848999999999997,29,NSPF1_1,1,2.88779310344828,0.482758620689655,4,4,2018-10-05,2018-10-05,SingleCell,0.357491289198606,RIe6,2018-09-10,TRUE,0,1,-0.38578057100482,-0.478309232480534,-158,NSPF1_1
21,IK,SGE1,NSPF3_1,4,732,31,4,18,IK_NSPF3_1,IK,676,IK,762,0.9992,1,732,36.663,15.207,21.456,31,NSPF3_1,1,2.36535483870968,1.16129032258065,4,4,2018-10-04,2018-10-04,SingleCell,0.577020843924758,RIk6,2018-04-16,TRUE,7,0.95906432748538,-3.10014856805665,0.509520062942565,-324,NSPF3_1
22,IV,SGE1,NSPF4_1,5,587,36,5,18,IV_NSPF4_1,IV,480,IV,831,0.9971,0.951807228915663,587,82.302,3.459,78.843,36,NSPF4_1,1,4.57233333333333,1,5,5,NA,2018-10-12,SingleCell,0.59106412005457,RIv8,2018-05-14,FALSE,12,0.920529801324503,-4.47107692307692,0.512820512820513,-520,NSPF4_1
23,JE,SGE1,SPF2_1,4,880,46,4,7,JE_SPF2_1,JE,899,JE,739,0.9995,0.998003992015968,880,101.783,66.19,35.593,46,SPF2_1,1,4.42534782608696,0.304347826086957,3,3,2018-10-10,2018-10-10,SingleCell,0.61671469740634,RJe11,2018-05-23,FALSE,7,0.95,1.73155737827347,-1.66322403582262,-101,SPF2_1
24,JV,SGE1,SPF2_1,2,1176,46,2,1,JV_SPF2_1,JV,1315,JV,1223,0.9995,0.998003992015968,1176,48.957,43.751,5.206,46,SPF2_1,1,2.1285652173913,0.0434782608695652,2,2,2018-10-10,2018-10-10,SingleCell,0.61671469740634,JVA,2018-05-23,FALSE,8,0.942857142857143,-0.565225230422182,-1.92409360104001,315,SPF2_1
25,KK,SGE1,SPF2_1,5,336,28,5,127,KK_SPF2_1,KK,149,KK,686,0.9995,0.998003992015968,336,7.135,3.011,4.124,28,SPF2_1,1,0.509642857142857,9.07142857142857,5,5,2018-10-10,2018-10-10,SingleCell,0.61671469740634,RKk13,2018-05-23,FALSE,38,0.728571428571429,-2.18414759067063,7.10385670951899,-851,SPF2_1
26,LM,SGE1,NSPF3_1,2,1483,41,1,0,LM_NSPF3_1,LM,1631,LM,1307,0.9992,1,1483,193.747,19.596,174.151,41,NSPF3_1,1,9.45107317073171,0,1,1,2018-10-04,2018-10-04,SingleCell,0.577020843924758,RLm8,2018-04-16,FALSE,0,1,3.98556976396538,-0.65177025963808,631,NSPF3_1
27,LO,SGE1,NSPF3_1,3,1016,41,3,2,LO_NSPF3_1,LO,1043,LO,1036,0.9992,1,1016,106.199,59.021,47.178,41,NSPF3_1,1,5.18043902439024,0.0975609756097561,3,3,2018-10-04,2018-10-04,SingleCell,0.577020843924758,RLo9,2018-04-16,FALSE,0,1,-0.285064382376083,-0.554209284028324,43,NSPF3_1
28,MG,SGE1,SPF4_1,4,1527,31,1,0,MG_SPF4_1,MG,1482,MG,1334,0.9789,0.707762557077626,1527,129.046,119.284,9.762,31,SPF4_1,1,8.32554838709677,0,1,1,2018-10-17,2018-10-17,SingleCell,0.516717325227964,RMg12,2018-09-17,FALSE,0,1,2.71077476958525,-1.28744239631336,536.25,SPF4_1
29,MI,SGE1,SPF3_1,3,206,11,5,34,MI_SPF3_1,MI,206,MI,500,0.9963,0.991489361702128,206,15.19,14.84,0.350000000000001,11,SPF3_1,1,2.76181818181818,6.18181818181818,5,5,NA,2018-10-18,SingleCell,0.471448275862069,RMi12,2018-07-02,FALSE,42,0.611111111111111,0.340290909090909,2.75151515151515,-794,SPF3_1
30,MO,SGE1,SPF2_1,1,1696,47,1,0,MO_SPF2_1,MO,1837,MO,1476,0.9995,0.998003992015968,1696,47.928,4.335,43.593,47,SPF2_1,1,2.03948936170213,0,1,1,2018-10-10,2018-10-10,SingleCell,0.61671469740634,77_06,2018-05-23,FALSE,0,1,-0.654301086111359,-1.96757186190958,837,SPF2_1
31,NN,SGE1,SPF4_1,5,419,28,4,45,NN_SPF4_1,NN,359,NN,838,0.9789,0.707762557077626,419,53.293,10.012,43.281,28,SPF4_1,1,3.80664285714286,3.21428571428571,4,4,2018-10-17,2018-10-17,SingleCell,0.516717325227964,RNn10,2018-09-17,FALSE,1,0.966666666666667,-1.80813076036866,1.92684331797235,-586.75,SPF4_1
32,PH,SGE1,NSPF2_1,5,889,44,4,7,PH_NSPF2_1,PH,827,PH,961,0.9959,0.97864768683274,889,71.571,28.276,43.295,44,NSPF2_1,1,3.25322727272727,0.318181818181818,4,4,2018-10-01,2018-10-01,SingleCell,0.643636363636364,RPh7,2018-03-21,FALSE,0,1,-3.48181191197691,-0.621100803957947,-173,NSPF2_1
33,PT,SGE1,NSPF4_1,1,871,39,4,11,PT_NSPF4_1,PT,743,PT,897,0.9971,0.951807228915663,871,195.395,124.55,70.845,39,NSPF4_1,1,10.0202564102564,0.564102564102564,4,4,2018-10-12,2018-10-12,SingleCell,0.59106412005457,RPt8,2018-05-14,FALSE,0,1,0.976846153846154,0.0769230769230769,-257,NSPF4_1
34,PZ,SGE1,NSPF5_1,3,1444,21,1,0,PZ_NSPF5_1,PZ,1456,PZ,1308,0.9866,0.988929889298893,1444,180.63,97.95,82.68,21,NSPF5_1,1,17.2028571428571,0,1,1,2018-10-15,2018-10-15,SingleCell,0.452612112806288,RPz13,2018-09-10,TRUE,0,1,7.91502875457875,-0.28974358974359,260,NSPF5_1
35,QT,SGE1,SPF1_1,1,811,48,4,38,QT_SPF1_1,QT,656,QT,852,0.9984,1,811,119.979,92.947,27.032,48,SPF1_1,1,4.999125,1.58333333333333,4,4,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RQt8,2018-03-20,FALSE,4,0.979695431472081,-0.948918085106383,0.123936170212766,-344,SPF1_1
36,QV,SGE1,NSPF1_1,2,1171,30,3,0,QV_NSPF1_1,QV,1274,QV,1124,0.9751,1,1171,54.785,8.374,46.411,30,NSPF1_1,1,3.65233333333333,0,2,2,2018-10-05,2018-10-05,SingleCell,0.357491289198606,RQv5,2018-09-10,TRUE,0,1,0.378759658880237,-0.961067853170189,274,NSPF1_1
37,RN,SGE1,NSPF2_1,1,1366,48,1,0,RN_NSPF2_1,RN,1466,RN,1124,0.9959,0.97864768683274,1366,167.897,48.786,119.111,48,NSPF2_1,1,6.99570833333333,0,1,1,2018-10-01,2018-10-01,SingleCell,0.643636363636364,RRn9,2018-03-21,FALSE,0,1,0.260669148629148,-0.939282622139765,466,NSPF2_1
38,RZ,SGE1,NSPF1_1,4,1244,31,2,1,RZ_NSPF1_1,RZ,1156,RZ,1178,0.9751,1,1244,58.461,23.075,35.386,31,NSPF1_1,1,3.77167741935484,0.0645161290322581,3,3,2018-10-05,2018-10-05,SingleCell,0.357491289198606,RRz6,2018-09-10,FALSE,0,1,0.498103744901743,-0.896551724137931,156,NSPF1_1
39,SD,SGE1,SPF1_1,5,432,47,5,100,SD_SPF1_1,SD,253,SD,602,0.9984,1,432,95.653,80.552,15.101,47,SPF1_1,1,4.07034042553192,4.25531914893617,5,5,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RSd4,2018-03-20,FALSE,1,0.99492385786802,-1.87770265957447,2.7959219858156,-747,SPF1_1
40,SM,SGE1,NSPF1_1,1,1387,31,1,0,SM_NSPF1_1,SM,1387,SM,1294,0.9751,1,1387,76.029,52.021,24.008,31,NSPF1_1,1,4.90509677419355,0,1,1,2018-10-05,2018-10-05,SingleCell,0.357491289198606,RSm8,2018-09-10,TRUE,0,1,1.63152309974045,-0.961067853170189,387,NSPF1_1
41,SS,SGE1,SPF1_1,2,1435,48,2,2,SS_SPF1_1,SS,1437,SS,1296,0.9984,1,1435,150.774,95.983,54.791,48,SPF1_1,1,6.28225,0.0833333333333333,2,2,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RSs10,2018-03-20,FALSE,0,1,0.334206914893617,-1.37606382978723,437,SPF1_1
42,TA,SGE1,SPF4_1,2,1147,31,2,3,TA_SPF4_1,TA,1112,TA,1164,0.9789,0.707762557077626,1147,90.113,2.58,87.533,31,SPF4_1,1,5.81374193548387,0.193548387096774,2,2,2018-10-17,2018-10-17,SingleCell,0.516717325227964,RTa11,2018-09-17,FALSE,0,1,0.19896831797235,-1.09389400921659,166.25,SPF4_1
43,TM,SGE1,NSPF4_1,3,1265,39,2,3,TM_NSPF4_1,TM,1372,TM,1073,0.9971,0.951807228915663,1265,140.819,14.333,126.486,39,NSPF4_1,1,7.22148717948718,0.153846153846154,2,2,2018-10-12,2018-10-12,SingleCell,0.59106412005457,RTm13,2018-05-14,FALSE,0,1,-1.82192307692308,-0.333333333333333,372,NSPF4_1
44,TR,SGE1,NSPF4_1,2,873,39,3,14,TR_NSPF4_1,TR,871,TR,1000,0.9971,0.951807228915663,873,220.55,127.857,92.693,39,NSPF4_1,1,11.3102564102564,0.717948717948718,3,3,2018-10-12,2018-10-12,SingleCell,0.59106412005457,RTr13,2018-05-14,FALSE,0,1,2.26684615384615,0.230769230769231,-129,NSPF4_1
45,VT,SGE1,SPF3_1,2,1750,33,1,0,VT_SPF3_1,VT,1750,VT,1274,0.9963,0.991489361702128,1750,52.119,18.739,33.38,33,SPF3_1,1,3.15872727272727,0,1,1,2018-10-18,2018-10-18,SingleCell,0.471448275862069,RVt12,2018-07-02,FALSE,0,1,0.7372,-3.43030303030303,750,SPF3_1
46,WM,SGE1,NSPF5_1,5,979,26,3,9,WM_NSPF5_1,WM,950,WM,1085,0.9866,0.988929889298893,979,68.392,46.891,21.501,26,NSPF5_1,1,5.26092307692308,0.692307692307692,3,3,2018-10-15,2018-10-15,SingleCell,0.452612112806288,RWm14,2018-09-10,FALSE,8,0.771428571428571,-4.02690531135531,0.402564102564103,-246,NSPF5_1
47,YR,SGE1,SPF3_1,5,610,33,4,145,YR_SPF3_1,YR,530,YR,823,0.9963,0.991489361702128,610,21.401,4.20200000000001,17.199,33,SPF3_1,1,1.2970303030303,8.78787878787879,4,4,2018-10-18,2018-10-18,SingleCell,0.471448275862069,RYr14,2018-07-02,FALSE,0,1,-1.12449696969697,5.35757575757576,-470,SPF3_1
48,YZ,SGE1,SPF1_1,3,847,48,3,33,YZ_SPF1_1,YZ,1055,YZ,957,0.9984,1,847,87.56,46.724,40.836,48,SPF1_1,1,3.64833333333333,1.375,3,3,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RYz6,2018-03-20,FALSE,0,1,-2.29970975177305,-0.0843971631205673,55,SPF1_1
