ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,eloIDStart,calcEloStart,groupEloStab,groupEloDCI,hIndex,hIndexP,ttri,ttriP,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,finalRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup
11,ED,SGE1,NSPF2_1,4,1170,49,3,6,ED_NSPF2_1,ED,1083,ED,1111,0.9959,0.97864768683274,1,0.109,1,0.21,1170,195.425,97.41,98.015,49,NSPF2_1,1,7.9765306122449,0.244897959183673,3,3,2018-10-01,2018-10-01,SingleCell,0.643636363636364,REd8,2018-03-21,FALSE,0,1
12,ET,SGE1,SPF5_1,4,633,37,4,19,ET_SPF5_1,ET,581,ET,809,0.9967,0.993650793650794,1,0.112,1,0.115,633,14.577,1.668,12.909,37,SPF5_1,1,0.787945945945946,1.02702702702703,4,4,2018-10-09,2018-10-09,SingleCell,0.522480620155039,REt12,2018-07-08,FALSE,18,0.806451612903226
13,FN,SGE1,NSPF5_1,1,1404,30,2,1,FN_NSPF5_1,FN,1432,FN,1299,0.9866,0.988929889298893,1,0.112,1,0.121,1404,45.136,22.345,22.791,30,NSPF5_1,1,3.00906666666667,0.0666666666666667,2,2,NA,2018-10-15,SingleCell,0.452612112806288,RFn14,2018-09-10,FALSE,0,1
14,FW,SGE1,SPF5_1,2,1693,38,1,0,FW_SPF5_1,FW,1767,FW,1324,0.9967,0.993650793650794,1,0.112,1,0.115,1693,47.373,23.069,24.304,38,SPF5_1,1,2.49331578947368,0,1,1,2018-10-09,2018-10-09,SingleCell,0.522480620155039,RFw12,2018-07-08,FALSE,0,1
15,FY,SGE1,SPF4_1,1,907,31,3,27,FY_SPF4_1,FY,830,FY,447,0.9789,0.707762557077626,0.95,0.153,1,0.327,907,69.954,39.327,30.627,31,SPF4_1,1,4.51316129032258,1.74193548387097,3,3,2018-10-17,2018-10-17,SingleCell,0.516717325227964,RFy11,2018-09-17,FALSE,0,1
16,GA,SGE1,SPF3_1,4,965,33,3,35,GA_SPF3_1,GA,975,GA,1088,0.9963,0.991489361702128,1,0.115,1,0.124,965,53.03,25.587,27.443,33,SPF3_1,1,3.21393939393939,2.12121212121212,3,3,2018-10-18,2018-10-18,SingleCell,0.471448275862069,RGa13,2018-07-02,FALSE,0,1
17,GL,SGE1,SPF2_1,3,912,43,3,9,GL_SPF2_1,GL,800,GL,876,0.9995,0.998003992015968,1,0.124,1,0.112,912,93.867,32.548,61.319,43,SPF2_1,1,4.36590697674419,0.418604651162791,4,4,2018-10-10,2018-10-10,SingleCell,0.61671469740634,RGl11,2018-05-23,FALSE,18,0.871428571428571
18,GQ,SGE1,NSPF3_1,1,1124,40,2,0,GQ_NSPF3_1,GQ,1159,GQ,1234,0.9992,1,1,0.096,1,0.1,1124,59.148,43.216,15.932,40,NSPF3_1,1,2.9574,0,2,2,2018-10-04,2018-10-04,SingleCell,0.577020843924758,RGq10,2018-04-16,FALSE,0,1
19,GU,SGE1,NSPF4_1,4,1404,39,1,0,GU_NSPF4_1,GU,1534,GU,1199,0.9971,0.951807228915663,1,0.125,1,0.123,1404,235.808,167.238,68.57,39,NSPF4_1,1,12.0927179487179,0,1,1,2018-10-12,2018-10-12,SingleCell,0.59106412005457,RGu10,2018-05-14,FALSE,0,1
20,HT,SGE1,SPF1_1,4,1475,48,1,0,HT_SPF1_1,HT,1599,HT,1293,0.9984,1,1,0.105,1,0.112,1475,257.764,39.659,218.105,48,SPF1_1,1,10.7401666666667,0,1,1,2018-10-03,2018-10-03,SingleCell,0.695439125518281,RHt8,2018-03-20,FALSE,0,1
