ID,phase.agg,group.agg,intro.no,elo.agg,num.obs,ordinal.rank,agg.received,id.group,eloID,calcElo,groupEloStab,groupEloDCI,elo.groom,min,min.give,min.receive,no.obs,group.groom,phase.groom,rawGroomRate,rawAggRecRate,calcOrdRank,experimentDate,grpExpDate,adjDate,fractionKept,animalID,groupStart,diedInPhase,daysOut,fracTimeInGroup,groupcent_groom,groupcent_agRec,groupcent_elo,group.gc
21,IV,SGE2,NSPF5,2,1092,18,2,7,IV_NSPF5,IV,946,0.9944,0.779904306220096,1092,144.942,85.073,59.869,18,NSPF5,2,16.1046666666667,0.777777777777778,3,NA,2020-05-27,WholePhase,1,RIv8,2019-07-05,FALSE,0,1,5.01374836601307,-0.73202614379085,14.5,NSPF5
22,JE,SGE2,SPF2,2,1261,19,1,0,JE_SPF2,JE,1300,1,1,1261,76.367,28.354,48.013,19,SPF2,2,8.03863157894737,0,1,NA,2020-05-27,WholePhase,1,RJe11,2019-07-05,FALSE,0,1,1.53533333333333,-0.421052631578947,300,SPF2
23,JV,SGE2,SPF5,1,1347,12,2,0,JV_SPF5,JV,1594,0.9921,0.987951807228916,1347,103.931,40.004,63.927,12,SPF5,2,17.3218333333333,0,1,NA,2020-05-27,WholePhase,1,JVA,2019-10-25,FALSE,0,1,3.68827272727273,-4.04545454545455,594,SPF5
24,KK,SGE2,SPF1,4,1113,17,2,3,KK_SPF1,KK,1256,0.9983,0.979695431472081,1113,115.981,83.749,32.232,17,SPF1,2,13.6448235294118,0.352941176470588,2,NA,2020-05-27,WholePhase,1,RKk13,2019-07-19,FALSE,21,0.932907348242812,5.38763478958835,-2.23839009287926,405.333333333333,SPF1
25,LM,SGE2,NSPF1,3,908,23,3,26,LM_NSPF1,LM,829,0.9958,0.995327102803738,908,28.075,14.419,13.656,23,NSPF1,2,2.44130434782609,2.26086956521739,3,NA,2020-05-27,WholePhase,1,RLm8,2019-05-06,FALSE,52,0.865633074935401,-9.3628275083612,0.345652173913043,-171,NSPF1
26,LO,SGE2,NSPF4,3,966,19,3,11,LO_NSPF4,LO,949,0.9995,1,966,127.138,65.692,61.446,19,NSPF4,2,13.3829473684211,1.15789473684211,3,NA,2020-05-27,WholePhase,1,RLo9,2019-07-19,FALSE,0,1,-5.03512046783626,0.145029239766082,-51,NSPF4
27,MD,SGE2,NSPF5,1,1316,18,1,1,MD_NSPF5,MD,1402,0.9944,0.779904306220096,1316,61.632,43.014,18.618,18,NSPF5,2,6.848,0.111111111111111,1,NA,2020-05-27,WholePhase,1,RMd11,2019-07-05,FALSE,0,1,-4.24291830065359,-1.39869281045752,470.5,NSPF5
28,MG,SGE2,SPF3,5,1437,20,1,0,MG_SPF3,MG,1635,0.9956,1,1437,141.386,70.926,70.46,20,SPF3,2,14.1386,0,1,NA,2020-05-27,WholePhase,1,RMg12,2019-07-24,FALSE,0,1,2.82542666666667,-1.37333333333333,635,SPF3
29,MI,SGE2,SPF1,2,751,18,4,27,MI_SPF1,MI,937,0.9983,0.979695431472081,751,71.677,29.893,41.784,18,SPF1,2,7.96411111111111,3,3,NA,2020-05-27,WholePhase,1,RMi12,2019-07-19,TRUE,62,0.667731629392971,-0.293077628712304,0.408668730650155,86.3333333333334,SPF1
32,NP,SGE2,NSPF3,5,1059,20,3,10,NP_NSPF3,NP,1085,0.9993,1,1059,177.957,103.979,73.978,20,NSPF3,2,17.7957,1,3,NA,2020-05-27,WholePhase,1,RNp9,2019-07-19,FALSE,0,1,4.17887764705882,-1.04588235294118,85,NSPF3
